اسغي ياشعب تونس تدعوا بالاسلام كفار الحمدلله نعمة الاسلام بلدنا الجزاير	hate
قطع يد السارق توفرت الشروط شرط الحد الأدنى قيمة غرام وربع ذكرني مرة أخرى	normal
تلوموش لطفي لعبدلي شرف	normal
مستغرب شعب يسمع تفاهة شانو لى الدرجة الشعب تافه قالت شانو نبكي تونس زكمونة سامي الفهري نقطة استفهام تونس الايام	normal
هههخ غزلتني مافهمتش شمدخلها الموضوع تتنطر وحدها وتنافق هههه	normal
ترضى اليهود والنصارى تتبع ملتهم الحمد لله يوجد يهود الجزائر وتربينا كرههم	hate
هدشي فالحين النخب العلمانية المدعومة الغرب مساواة المرأة الرجل	normal
الموت للاخوان المسلمين	hate
سلام اولا العجب والعجيب الناس يعارضون ويؤيدون حكم اراه كفرا وشرك بالله جهة جهة ثانية يجب معرفة الاصل الحكمة حق الرجل بمثل حظ الانثيين باختصار الرجل المسؤول الانفاق اولاده العكس الحال طلب الرجال النفقة لابد متساوية	normal
حولا بالله العلي العظيم الراجل ينصح وحب اعاونك وليت اتقلو راجل ايفكر اذهب	normal
